Name,samAccountName,GroupCategory,GroupScope,DisplayName,OU,Description,Membership

Tier 0 Replication Maintenance,Tier0ReplicationMaintenance,Security,Global,Tier0ReplicationMaintenance,"OU=Groups,OU=Tier 0,OU=Admin",Members of this group are Tier 0 Replication Maintenance,
Cloud Service Admins,CloudServiceAdmins,Security,Global,CloudServiceAdmins,"OU=Groups,OU=Tier 0,OU=Admin",Members of this group are permitted to connect to pre-identified cloud services via Privileged Access Workstations,
PAW Maintenance,pawmaint,Security,Global,pawmaint,"OU=Groups,OU=Tier 0,OU=Admin",Members of this group maintain and support Privileged Access Workstations,
Service Accounts,Service Accounts,Security,Global,Service Accounts,"OU=Groups,OU=Tier 0,OU=Admin",Members of this group are Tier 0 Service Accounts,
Tier 0 Admins,Tier0Admins,Security,Global,Tier0Admins,"OU=Groups,OU=Tier 0,OU=Admin",Members of this group are permitted manage this domain,
Tier 0 All,Tier0All,Security,Global,Tier0All,"OU=Groups,OU=Tier 0,OU=Admin",Members of this group are Tier 0,
Tier 0 LAPS,Tier0LAPS,Security,Global,Tier0LAPS,"OU=Groups,OU=Tier 0,OU=Admin",Members of this group are Tier 0,
Tier 0 PAW,Tier0PAW,Security,Global,Tier0PAW,"OU=Groups,OU=Tier 0,OU=Admin",Members of this group are Tier 0  PAW,
Tier 0 PAW Users,Tier0PAWUsers,Security,Global,Tier0PAWUsers,"OU=Groups,OU=Tier 0,OU=Admin",Members of this group are permitted to log onto Privileged Access Workstations of Tier 0,
Tier 1 Server Maintenance,Tier1ServerMaintenance,Security,Global,Tier1ServerMaintenance,"OU=Groups,OU=Tier 1,OU=Admin",Members of this group perform Tier 1 Server Maintenance,
Tier 1 Admins,Tier 1 admins,Security,Global,Tier 1 Admins,"OU=Groups,OU=Tier 1,OU=Admin",Members of this group are Tier 1 Administrators,
CAUsers,CAUsers,Security,Global,CAUsers,"OU=Groups,OU=Tier 1,OU=Admin",Members of this group are Tier 1 CAUsers,
Tier 1 PAW,Tier1PAW,Security,Global,Tier1PAW,"OU=Groups,OU=Tier 1,OU=Admin",Members of this group are Tier 1  PAW,
Tier 1 PAW Users,Tier1PAWUsers,Security,Global,Tier1PAWUsers,"OU=Groups,OU=Tier 1,OU=Admin",Members of this group are permitted to log onto Privileged Access Workstations of Tier 1,
SqlServer Admins,SqlServerAdmins,Security,Global,SqlServerAdmins,"OU=Groups,OU=Tier 1,OU=Admin",Members of this group are permitted to log onto and administer SQL Servers,
Service Desk Operators,ServiceDeskOperators,Security,Global,Service Desk Operators,"OU=Groups,OU=Tier 2,OU=Admin",Members of this group are Service Desk Operators,
Workstation Maintenance,WorkstationMaintenance,Security,Global,Workstation Maintenance,"OU=Groups,OU=Tier 2,OU=Admin",Members of this group perform Workstation Maintenance,
Tier 2 Admins,Tier 2 admins,Security,Global,Tier 2 Admins,"OU=Groups,OU=Tier 2,OU=Admin",Members of this group are Tier 2 Administrators,
Tier 2 PAW,Tier2PAW,Security,Global,Tier2PAW,"OU=Groups,OU=Tier 2,OU=Admin",Members of this group are Tier 2  PAW,
Tier 2 PAW Users,Tier2PAWUsers,Security,Global,Tier2PAWUsers,"OU=Groups,OU=Tier 2,OU=Admin",Members of this group are permitted to log onto Privileged Access Workstations of Tier 2,